GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP005985	0	0.018	0.178	0.693	0	0.207	0.071	0	0	0.99	0.025	0.627	0.02	0.97	0.224	0.331	0.666	0.003	""	fatty acyl-CoA reductase 2 [Source:VB Community Annotation]
AGAP010047	0	0.13	0	0	0	0	0	0	0	0.321	0.671	0.432	0.852	0.609	0.956	0	0	0	""	""
AGAP003065	0	0.624	0.73	0.542	0.722						0.959					0.664	0.093	0.575	CYP11179	cytochrome P450 [Source:VB Community Annotation]
AGAP000057	0	0.032	0.17	0.124	0.136	0.05	0	0.235	0.953	0.367	0.863	0.622	0.679	0.772	0.476	0.467	0	0	""	paired box protein [Source:VB Community Annotation]
AGAP005961	0	0	0.918	0.893	0.001	0	0.946	0.988	0.259	0.234	0.004	0.117	0.002	0.418	0.031	0.219	0.276	0	""	Zyg-11 protein homolog [Source:VB Community Annotation]
AGAP005794	0	0	0	0	0	0.38	0.172	0.012	0	0.256	0.529	0.353	0.663	0.198	0.356	0.009	0.675	0	""	""
AGAP028498	0	0	0	0.143	0.971	0.74	0.301	0.948	0.934	0.846	0.944	0.912	0.635	0.411	0.664	0.004	0.626	0	""	""
AGAP009918	0	0	0.141	0	0	0.024	0.708	0	0.002	0.942		0.234	0	0.662	0.053	0	0	0	""	""
AGAP007761	0	0.005	0	0	0.001	0.668	0.031	0.001	0	0.976	0.041	0.689	0.003	0.391	0.012	0.03	0.705	0	""	Complement control protein [Source:VB Community Annotation]
AGAP010049	0	0.012	0	0	0.619	0.903	0.593	0.608	0.143	0.063	0.934	0.14	0.967	0.113	0.985	0.01	0.849	0	""	""
AGAP005878	0	0	0.027	0	0	0.216	0	0	0	0.079	0.283	0.184	0.124	0.087	0.268	0	0	0	""	POU domain transcription factor, class 3 [Source:VB Community Annotation]
AGAP001890	0	0.003	0			0.568	0.032	0.861	0.384	0.84	0.174	0.756	0.133	0.01	0	0	0	0.214	""	""
AGAP000966	0	0	0	0.253	0.515	0.8	0.179	0.007	0.001	0.707	0.816	0.811	0.33	0.911	0.504	0.004	0.972	0	beta1	nicotinic acetylcholine receptor beta 1 [Source:VB Community Annotation]
AGAP000833	0	0.189	0	0	0	0.1	0.063	0.001	0	0.255	0.001	0.035	0	0.027	0	0.08	0	0	MIP	myoinhibitory-like peptide [Source:VB Community Annotation]
AGAP007479	0	0.991	0.766	0.001	0	0.227	0	0	0	0.766	0.006	0.377	0.629	0.485	0.211	0.325	0.129	0.04	""	methylenetetrahydrofolate reductase (NADPH) [Source:VB Community Annotation]
AGAP010834	0	0	0.016	0.005	0.001	0.773	0.608	0.62	0.701	0.506	0.293	0.407	0.179	0.934	0.807	0.568	0.577	0.041	""	calpain-7 [Source:VB Community Annotation]
AGAP008888	0	0.099	0.662	0.016	0.114	0.199	0.516	0	0	0.663	0.58	0.019	0.012	0.014	0.02	0.207	0.018	0	""	""
AGAP010205	0	0.042	0	0	0.03	0.999	0.41	0.005	0	0.801	0.591	0.274	0.413	0.187	0.229	0	0.012	0	""	""
AGAP001410	0	0.021	0	0.5	0.079	0.467	0.49	0.025	0	0.83	0.265	0.975	0.082	0.808	0.057	0.015	0.417	0	""	Sidestep protein [Source:VB Community Annotation]
AGAP001674	0	0	0	0.626	0.823	0.576	0.339	0.231	0.005	0.517	0.042	0.547	0.055	0.271	0.034	0.093	0.513	0	""	sidestep [Source:VB Community Annotation]
AGAP009057	0	0	0.12	0.009	0	0.079	0.896	0.285	0.165	0.77	0.976	0.855	0.873	0.177	0.35	0.336	0.13	0.043	""	CCR4-NOT transcription complex, subunit 1 [Source:VB Community Annotation]
AGAP009474	0	0.079	0	0.836	0.006	0.308	0.382	0.282	0.023	0.425	0.051	0.037	0.001	0	0	0.001	0	0	""	""
AGAP006890	0	0	0.641	0	0	0.873	0.307	0.348	0.922	0.024	0.032	0.002	0.002	0.004	0.006	0.331	0.576	0	Arf3	ADP-ribosylation factor 3 [Source:VB Community Annotation]
AGAP006590	0	0.937	0	0	0.049	0.917	0.779	0.234	0.016	0.029	0.954	0.09	0.523	0.072	0.776	0.898	0.611	0.008	""	T-lymphoma invasion and metastasis-inducing protein 1 [Source:VB Community Annotation]
AGAP001476	0	0.549	0.215	0	0	0.438	0.845	0.568	0.687	0.359	0.529	0.257	0.386	0.56	0.394	0.791	0.478	0	""	Innexin inx2 [Source:VB Community Annotation]
AGAP002085	0	0.123	0	0.012	0.094	0.079	0.648	0	0	0.082	0.001	0.002	0	0.003	0	0.011	0.316	0	""	""
AGAP005681	0	0	0	0	0.563	0.836	0.758	0.2	0.114	0.253	0.799	0.871	0.114	0.217	0.814	0.017	0.755	0	GPRNNA21	putative GPCR class a orphan receptor 21 [Source:VB Community Annotation]
AGAP010601	0	0.253	0	0.068	0.418	0.2	0.001	0.006	0.02	0.253	0.5	0.119	0.916	0.022	0.379	0.444	0.312	0.028	""	""
AGAP005918	0	0	0.932	0.001	0.048	0.013	0	0	0	0.09	0.589	0.047	0.416	0.013	0.165	0.097	0.88	0.087	""	solute carrier family 30 (zinc transporter), member 1 [Source:VB Community Annotation]
AGAP008644	0	0.291	0	0	0.004	0.54	0.966	0.119	0.018	0.123	0.273	0.373	0.617	0.57	0.793	0.684	0.986	0	GPRMGL2	putative metabotropic glutamate receptor 2 [Source:VB Community Annotation]
AGAP009184	0	0.387	0.63	0	0.238	0.254	0	0	0	0	0.037	0	0.169	0.311	0.956	0.08	0.636	0	""	""
AGAP009982	0	0.025	0.839	0	0.013	0	0	0	0	0.677	0.506	0.256	0.154	0	0	0.357	0.609	0.795	""	""
AGAP006772	0	0.915	0	0	0.96	0.844	0.002	0.012	0	0.999	0.177	0.962	0.169	0.442	0.045	0.161	0.775	0	""	""
AGAP005520	0	0.403	0.614	0.486	0	0.765	0.075	0.53	0.067	0.691	0.002	0.312	0.427	0.817	0.025	0.048	0	0.015	""	cytochrome b-561 [Source:VB Community Annotation]
AGAP013523	0	0.001	0.299	0.292	0.894	0	0	0	0		0.951	0.859		0.487	0.631	0.248	0	0.014	""	""
AGAP002564	0	0.983	0	0.015	0.139	0.001	0.638	0.014	0.001	0.497	0	0.963	0.02	0.887	0.137	0	0.991	0.125	Aldo	fructose biphosphate aldolase [Source:VB Community Annotation]
AGAP006048	0	0	0.831	0.032	0.282	0.039	0.876	0.984	0.941	0.001	0.007	0	0.933	0	0.916	0.978	0.388	0	CYP4J5	cytochrome P450 [Source:VB Community Annotation]
AGAP029105	0	0.009	0	0.105	0.399	0.985	0.002	0.002	0.006	0.992	0.328	0.612	0.12	0.475	0.113	0.001	0.907	0	""	""
AGAP006888	0	0	0.59	0.049	0.02	0.377	0.367	0.019	0	0.932	0.463	0.426	0.923	0.322	0.113	0.016	0.091	0.273	""	G protein-coupled receptor kinase interactor 2 [Source:VB Community Annotation]
AGAP000188	0	0	0	0.682	0.133	0.891	0.087	0	0.068	0.686	0	0.749	0.002			0	0.006	0	""	Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7]
AGAP001546	0	0	0	0.17	0.58	0	0.002	0	0	0.126	0.989	0.471	0.681	0.175	0.009	0.48	0	0	""	Neither inactivation nor afterpotential protein G [Source:VB Community Annotation]
AGAP008924	0	0.782	0	0	0.002	0.01	0	0.047	0	0.972	0.008	0.888	0.005	0.348	0.001	0.656	0.438	0.855	""	""
AGAP003198	0	0.153	0	0.006	0.147	0.218	0.963	0.38	0.028	0.249	0.487	0.474	0.041	0.364	0.27	0.101	0.27	0	""	""
AGAP000848	0	0.021	0	0.001	0.541	0.612	0.007	0	0	0.391	0.143	0.148	0.038	0.109	0.03	0.181	0.568	0	""	""
AGAP007687	0	0	0	0	0.528	0.959	0.003	0	0	0.33	0.014	0.017	0	0.035	0.002	0.142	0.071	0	""	Oxysterol-binding protein [Source:UniProtKB/TrEMBL;Acc:Q7PT44]
AGAP006645	0	0	0.005	0.37	0.553	0.845	0.757	0.935	0.691	0	0.671	0.056	0.4	0.003	0.931	0.022	0.407	0	""	""
AGAP029107	0	0.816	0	0	0.137	0.231	0.455	0.709	0.168	0.414	0.391	0.174	0.144	0.03	0.022	0.203	0.019	0.028	""	""
AGAP001478	0	0.003	0	0.924	0.04	0.359	0.024	0	0	0.912	0.296	0.93	0.069	0.809	0.486	0	0	0	NMDAR1	ionotropic receptor NMDAR1 [Source:VB Community Annotation]
AGAP013121	0	0	0	0.064	0.035	0.241	0.986	0.836	0.257	0.803	0.223	0.555	0.259	0.856	0.186	0.028	0.991	0	""	""
AGAP004725	0	0.209	0	0.435	0	0.064	0.643	0.719	0.523	0.42	0.819	0.801	0.122	0.216	0.013	0	0	0.001	eIF3c	Eukaryotic translation initiation factor 3 subunit C [Source:UniProtKB/Swiss-Prot;Acc:Q7PMU8]
AGAP007753	0	0.001	0.001	0	0.079	0.089	0	0	0	0.702	0.003	0.825	0.005	0.159	0.881	0.252	0.005	0	""	""
AGAP002226	0	0.088	0	0	0.941	0.315	0.877	0.662	0.271	0.002	0.975	0.003	0.868	0.004	0.702	0.409	0.781	0.124	""	diacylglycerol kinase (ATP dependent) [Source:VB Community Annotation]
AGAP002399	0	0	0.024	0.098	0	0.062	0	0.72	0.901	0.026	0.07	0.079	0.194	0.011	0.03	0.137	0.798	0	""	""
AGAP010184	0	0.007	0.001	0.119	0.546	0.583	0.436	0.64	0.279	0	0.004	0.014	0.035	0	0.003	0.36	0.976	0	""	echinoid [Source:VB Community Annotation]
AGAP029185	0	0	0	0.002	0	0.055	0.535	0.004	0.001	0.624	0	0.697	0	0.798	0.006	0.155	0.001	0.046	""	""
AGAP009812	0	0.025	0	0.032	0.704	0.773	0.645	0.4	0.087	0.435	0.495	0.774	0.022	0.92	0.207	0.429	0.808	0	""	""
AGAP000332	0	0	0.462	0.192	0.978	0.476	0	0.075	0.067	0.116	0.569	0.066	0.603	0.09	0.874	0.858	0.185	0	Vir	protein virilizer [Source:VB Community Annotation]
AGAP012252	0	0	0.182	0.006	0.441	0.969	0.392	0.007	0.51	0.051	0	0.004	0	0	0	0.732	0.471	0	""	classical protein kinase C [Source:VB Community Annotation]
AGAP007018	0	0	0.432	0.003	0.003	0.303	0.633	0.991	0.601	0	0	0	0.001	0	0	0.033	0.001	0	""	""
AGAP009563	0	0.291	0.146	0.236	0	0.034	0.149	0	0	0.299	0.428	0.814	0.566	0.446	0.26	0.95	0	0.18	""	myotubularin related protein 2 [Source:VB Community Annotation]
AGAP000840	0	0.044	0.126	0.866	0.659	0.012	0.014	0	0.002	0.856	0.216	0.411	0.038	0.344	0.03	0.805	0.577	0.122	""	amiloride-sensitive sodium channel, other [Source:VB Community Annotation]
AGAP010456	0	0.002	0	0.791	0.053	0.925	0.593	0.239	0.027	0.244	0.101	0.388	0.056	0.757	0.018	0.787	0.972	0	""	""
AGAP010485	0	0	0	0.005	0.929	0.406	0.006	0.036	0	0.723	0	0.464	0	0.463	0.003	0.016	0.211	0	""	dopamine beta-monooxygenase [Source:VB Community Annotation]
AGAP002862	0	0	0.096	0.162	0	0.66	0.853	0.049	0.893	0	0	0	0	0	0	0.51	0	0.163	CYP6AA1	cytochrome P450 [Source:VB Community Annotation]
AGAP013348	0	0.15	0.025	0.542	0	0.018	0	0	0	0.04	0.2	0.048	0.175	0.885	0.723	0.033	0.795	0	""	""
AGAP012429	0	0.327	0	0	0.077	0.941	0.002	0.018	0	0.204	0.003	0.138	0.001	0.11	0.001	0.001	0.731	0.362	NMDAR2	ionotropic receptor NMDAR2 [Source:VB Community Annotation]
AGAP004410	0	0.011	0	0	0.004	0.71	0.407	0.103	0.002	0.664	0.034	0.183	0	0.146	0.001	0.081	0.01	0	""	""
AGAP006526	0	0	0.382	0.001	0.029	0.222	0.931	0.056	0.015	0.038	0.077	0.012	0.084	0.073	0.274	0.039	0	0.714	""	""
AGAP006022	0	0	0.546	0	0	0.07	0	0	0	0.173	0.378	0.811	0.683	0.273	0.482	0.273	0.649	0	Bhlh_PAS	""
AGAP003142	0	0.938	0.873	0.729	0.16	0	0	0	0	0.002	0.008	0	0	0.001	0.006	0	0	0.103	""	sulfide:quinone oxidoreductase [Source:VB Community Annotation]
AGAP004518	0	0	0	0.001	0.585	0.935	0.777	0.206	0.055	0.98	0.013	0.522	0	0.284	0.002	0.156	0.709	0	""	""
AGAP000945	0	0.16	0	0.025	0.022	0.744	0.685	0.487	0.023	0.03	0	0.507	0.017	0.892	0.367	0.05	0.227	0	""	sn1-specific diacylglycerol lipase [Source:VB Community Annotation]
AGAP000629	0	0.92	0.741	0.826	0.057	0.882	0.455	0.158	0.099	0.151	0.021	0.001	0	0.778	0.251	0.335	0.005	0	""	""
AGAP000569	0	0.123	0	0.034	0.618	0.005	0.621	0.704	0.334	0.962	0.264	0.347	0.024	0.35	0.028	0.243	0.04	0	""	forkhead box protein P [Source:VB Community Annotation]
AGAP006090	0	0	0	0.05	0.993	0.333	0.306	0	0.001	0.161	0.024	0.813	0	0.686	0	0.684	0.016	0.022	""	nucleolar protein 15 [Source:VB Community Annotation]
AGAP011250	0	0	0	0.007	0	0.986	0.416	0	0	0	0.011	0	0.017	0.004	0.011	0.154	0.897	0	""	""
AGAP002916	0	0.001	0.003	0.178	0.086	0.455	0.091	0.182	0.471	0.961	0.439	0.889	0.363	0.973	0.45	0.005	0.454	0	""	""
AGAP012404	0	0	0	0.002	0.224	0.372	0.52	0.13	0.177	0.996	0	0.962	0	0.631	0.006	0.242	0.038	0	""	alanine--glyoxylate aminotransferase 2, mitochondrial [Source:VB Community Annotation]
AGAP007023	0	0.027	0.034	0.102	0.624	0.534	0	0	0	0.117	0.001	0.113	0.004	0.037	0.339	0.001	0.03	0	cue	Protein cueball [Source:UniProtKB/Swiss-Prot;Acc:Q7QIQ6]
AGAP011812	0	0	0.863	0.721	0.079	0.087	0.001	0	0	0.151	0.638	0.006	0.039	0.002	0.022	0.017	0.981	0.088	""	Elongation of very long chain fatty acids protein (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q7PZA2]
AGAP005799	0	0	0.127	0.913	0.298	0.492	0.002	0.003	0.006	0	0.136	0	0.307	0	0.008	0.324	0.228	0	""	dally [Source:VB Community Annotation]
AGAP003115	0	0.401	0	0	0.027	0.985	0.115	0.046	0	0.435	0	0.199	0	0.383	0	0.039	0.631	0	COE2580	carboxylesterase [Source:VB Community Annotation]
AGAP000233	0	0.166	0	0.967	0.01	0.351	0.739	0.493	0.104	0.837	0.408	0.498	0.012	0.441	0.033	0.795	0.396	0	""	""
AGAP009136	0	0.305	0	0.179	0.264	0.183	0.775	0.496	0.046	0.406	0.227	0.341	0.311	0.444	0.318	0.373	0.881	0	""	""
AGAP005251	0	0.021	0	0.028	0.389	0.785	0.003	0.012	0	0.781	0.417	0.41	0.032	0.567	0.074	0.305	0.053	0	""	potassium voltage-gated channel [Source:VB Community Annotation]
AGAP011296	0	0.002	0.009	0.906	0.06	0.239	0.992	0.022	0.017	0.538	0.002	0.47	0	0.085	0	0.001	0	0	""	""
AGAP009624	0	0.024	0.706	0.659	0	0.101	0.151	0.415	0.524	0.919	0.391	0.502	0.962	0.384	0.645	0.104	0	0.509	CTPsyn	CTP synthase [Source:VB Community Annotation]
AGAP003939	0	0.924	0.006	0.001	0.191	0.012	0.1	0.011	0	0.932	0.771	0.665	0.437	0.898	0.908	0.259	0.989	0.153	""	""
AGAP005802	0	0	0.057	0	0	0.84	0.006	0.608	0.916	0.998	0.994	0.996	0.952	0.803	0.715	0.979	0.213	0	RpL8	60S ribosomal protein L8 [Source:UniProtKB/Swiss-Prot;Acc:Q9U9L2]
AGAP028637	0	0.094	0	0	0.325	0.299	0.225	0.176	0.019	0.482	0.084	0.209	0.021	0.112	0.014	0.013	0.325	0	""	""
AGAP004094	0	0	0.078	0.006	0.342	0.933	0.505	0.771	0.939	0	0.297	0	0.066	0	0.057	0.791	0.004	0	""	Sterol carrier protein-2 [Source:VB Community Annotation]
AGAP012394	0	0.835	0	0	0	0	0.924	0.491	0.225	0.001	0.058	0.068	0.19	0.208	0.482	0.006	0	0.003	""	peptide-methionine (S)-S-oxide reductase [Source:VB Community Annotation]
AGAP001323	0	0.776	0	0.001	0.262	0.516	0.272	0	0.006	0.738	0.045	0.618	0.046	0.224	0.008	0.517	0.601	0	""	""
AGAP003603	0	0	0	0.53	0.132	0.487	0.559	0.107	0.013	0.9	0.108	0.368	0.009	0.335	0.029	0.011	0.009	0	""	""
AGAP000254	0	0.001	0	0.972	0.132	0.897	0.9	0.231	0	0.959	0.008	0.195	0.161	0.463	0.075	0.967	0.067	0	""	potassium voltage-gated channel Shaker-related subfamily A [Source:VB Community Annotation]
AGAP000360	0	0.013	0.001	0.723	0.566	0.314	0.051	0.206	0.291	0.381	0.628	0.389	0.549	0.005	0.457	0	0.018	0	""	""
AGAP013275	0	0.364	0	0	0.439	0.37	0.665	0.546	0.179	0.407	0.982	0.134	0.501	0.89	0.675	0.564	0.603	0	""	""
AGAP005219	0	0.069	0	0	0.051	0.84	0.212	0.003	0.001	0.569	0.979	0.764	0.677	0.69	0.818	0.118	0.218	0.088	""	""
AGAP007821	0	0.077	0	0	0.012	0.911	0.006	0.001	0.006	0.914	0.434	0.693	0.109	0.372	0.055	0	0.328	0.042	""	""
AGAP028461	0	0	0.131	0	0	0.37	0.9	0.388	0.636	0.005	0.007	0	0	0.002	0.003	0.015	0.198	0.466	""	""
AGAP002810	0	0	0.001	0.583	0.796	0.662	0.256	0.511	0.295	0.111	0.008	0.009	0	0.014	0.001	0	0.016	0	""	45 kDa calcium-binding protein [Source:VB Community Annotation]
AGAP005088	0	0.001	0.912	0.321	0.162	0.672	0.777	0.857	0.315	0.04	0.078	0.006	0.008	0.123	0.183	0.207	0.744	0	""	""
AGAP000711	0	0	0	0.789	0.012	0.399	0.02	0.73	0.89	0.36	0.069	0.899	0.008	0.004	0	0.558	0.013	0	""	""
AGAP028511	0	0.212	0.038	0	0	0.417	0.008	0.253	0.31	0.304	0.978	0.7	0.493	0.428	0.76	0.308	0.615	0.167	""	""
AGAP011371	0	0.03	0	0	0.138	0.706	0.362	0.082	0.019	0	0.645	0	0.691	0	0.633	0	0.058	0	""	Tartan [Source:VB Community Annotation]
AGAP005165	0	0.001	0	0.011	0.123	0.584	0.804	0.202	0.177	0.429	0.338	0.02	0.622	0.446	0.564	0.143	0.127	0	""	""
AGAP000834	0	0	0.001			0.04	0.136	0	0.006	0.003	0	0.139	0.01	0.626	0.228	0.001	0	0	""	""
AGAP002819	0	0.281	0	0.012	0.047	0.987	0.877	0.902	0.513	0.014	0.949	0.221	0.112	0.088	0.317	0.901	0.602	0	""	""
AGAP005301	0	0.265	0	0	0.117	0.925	0.003	0	0	0.92	0.12	0.836	0.048	0.24	0.008	0.136	0.58	0	""	""
AGAP009036	0	0	0.001	0.77	0	0.006	0.425	0.587	0.413	0	0	0.014	0.084	0	0	0.399	0	0	""	solute carrier family 9 (sodium/hydrogen exchanger), member 3 [Source:VB Community Annotation]
AGAP010962	0	0	0.183	0.576	0.163	0	0	0	0	0.595	0.31	0.485	0.23	0.682	0.375	0	0	0	""	""
AGAP006937	0	0	0.436	0.005	0.003	0.649	0.162	0.831	0.795	0.015	0.719	0.364	0.663	0.047	0.73	0.67	0.516	0	""	ubiquitin-conjugating enzyme E2 variant [Source:VB Community Annotation]
AGAP006097	0	0	0.629	0.002	0.065	0.125	0.832	0.929	0.066	0.468	0.065	0.662	0.106	0.852	0.239	0	0.821	0.585	""	target of Myb-like protein 2 [Source:VB Community Annotation]
AGAP005976	0	0.712	0.932	0	0.004	0.659	0.3	0.077	0.727	0	0	0.004	0.006	0	0	0.524	0.558	0	""	""
AGAP028095	0	0.106	0.422	0	0.025	0.087	0.456	0	0	0.876	0	0.414	0	0.087	0	0.167	0	0.06	""	""
AGAP005803	0	0	0.021	0	0.002	0.805	0.991	0.257	0.029	0.89	0.914	0.651	0.908	0.778	0.952	0.477	0.069	0.399	""	""
AGAP006644	0	0	0.704	0.003	0	0.174	0.233	0.7	0.918	0.034	0.049	0.053	0.183	0.005	0.956	0.091	0	0.024	""	""
AGAP010800	0	0	0.474	0	0.838	0.097	0.001	0.111	0.508	0.307	0.081	0.975	0.007	0.41	0	0.285	0.027	0	""	nuclear protein NHN1 [Source:VB Community Annotation]
AGAP000206	0	0	0.189	0.059	0.012	0.969	0.231	0.952	0.999	0.26	0.357	0.3	0.354			0	0	0.328	""	""
AGAP007133	0	0.008	0.003	0.691	0.899	0.901	0.983	0.27	0.011	0.114	0.964	0.125	0.991	0.041	0.865	0.13	0.391	0	""	""
AGAP004726	0	0.005	0	0.938	0.007	0.964	0.284	0.107	0.008	0.853	0.171	0.893	0.365	0.36	0.072	0.838	0.141	0	""	Uncharacterized protein CG3556 [Source:VB Community Annotation]
AGAP004674	0	0.006	0.041	0.594	0.223	0.166	0	0	0	0.937	0.475	0.804	0.213	0.802	0.276	0.061	0.53	0.056	""	Phenoloxidase inhibitor protein [Source:VB Community Annotation]
AGAP003449	0	0	0.04	0	0.004	0	0	0	0	0	0	0.001	0	0	0	0.406	0.742	0	""	rootletin [Source:VB Community Annotation]
AGAP009275	0	0.37	0	0.508	0	0.493	0.136	0.423	0.197	0.95	0.474	0.336	0.049	0.289	0.065	0	0.01	0.937	Sk	sulfakinin neuropeptide [Source:VB Community Annotation]
AGAP001743	0	0.014	0.209	0	0	0.743	0.081	0.546	0.512	0.612	0.076	0.256	0.013	0.057	0.001	0.965	0.222	0	""	estrogen-related receptor ERR [Source:VB Community Annotation]
AGAP001935	0	0	0	0.129	0.26	0.368	0.732	0.707	0.324	0.188	0.814	0.488	0.641	0.472	0.851	0.014	0.397	0.001	""	""
AGAP002323	0	0.647	0.1	0	0	0	0.784	0.001	0.618	0.006	0.178	0.546	0.979	0.003	0.077	0.072	0	0.11	""	""
AGAP007237	0	0.032	0	0	0	0.59	0.124	0.358	0.001	0.085	0.021	0.319	0.06	0.483	0.108	0.418	0.781	0.299	HPX4	heme peroxidase 4 [Source:VB Community Annotation]
AGAP000300	0	0	0.069	0	0.226	0.109	0	0.691	0.967	0.008	0.622	0.059	0.738	0	0.009	0.318	0.101	0.013	""	Bifunctional pyrimidine biosynthesis protein (PyrABCN) [Source:VB Community Annotation]
AGAP000061	0	0.031	0	0.012	0.834	0.783	0.013	0.173	0.006	0.758	0.088	0.687	0.083	0.224	0.009	0.49	0.856	0	""	One cut domain family member [Source:UniProtKB/TrEMBL;Acc:A0NCM1]
AGAP005971	0	0.183	0.61	0.904	0.087	0	0.003	0.024	0	0.001	0	0.085	0	0.096	0	0.201	0	0	""	Phospholipase B-like [Source:UniProtKB/TrEMBL;Acc:Q7Q692]
AGAP008919	0	0.031	0	0.074	0.732	0.193	0.887	0.489	0.042	0.165	0.434	0.932	0.04	0.537	0.126	0.175	0.781	0	""	""
AGAP005244	0	0.167	0.001	0.058	0.088	0.444	0.319	0.567	0.364	0.005	0.01	0.005	0.003	0.022	0.013	0.674	0.908	0.001	""	""
AGAP011477	0	0	0.665	0	0.133	0	0.298	0.028	0.371	0	0	0	0	0	0	0	0	0.107	""	eupolytin [Source:VB Community Annotation]
AGAP003239	0	0.936	0.001	0.932	0.816	0	0.008	0	0	0.023	0.804	0.022	0.94	0.024	0.774	0.455	0.999	0.027	""	meiotic chromosome segregation protein [Source:VB Community Annotation]
AGAP011694	0	0	0.15	0.8	0	0.313	0.502	0.132	0.012	0.89	0	0.956	0	0.922	0	0.03	0.989	0	""	""
AGAP005813	0	0	0.198	0.418	0.489	0.727	0.339	0.027	0.015	0.121	0	0.39	0.014	0.032	0	0	0	0.002	""	FeS cluster assembly scaffold IscU [Source:VB Community Annotation]
AGAP010328	0	0.276	0.525	0.002	0.441	0.106	0.024	0.083	0.944	0.002		0	0.725	0	0.71	0	0	0.564	""	""
AGAP000940	0	0.022	0	0	0.002	0.462	0.054	0.05	0	0.886	0.491	0.682	0.332	0.305	0.13	0.306	0.313	0	CTL7	C-type lectin (CTL) [Source:VB Community Annotation]
AGAP004902	0	0.352	0	0	0.001	0.455	0.976	0.491	0.163	0.111	0.733	0.33	0.777	0.206	0.923	0.774	0.92	0.516	""	""
AGAP005888	0	0.076	0.185	0.594	0.15	0.396	0	0	0	0.46	0.413	0.464	0.472	0.578	0.694	0.745	0.941	0	""	""
AGAP004880	0		0.43	0.364	0	0	0	0	0	0.585		0	0.017	0.637	0.073	0.001	0	0.178	""	L-lactate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:Q7Q981]
AGAP003509	0	0.001	0	0	0.461	0.165	0.388	0.001	0	0.992	0.001	0.617	0.194	0.325	0.005	0.985	0.725	0	""	Complexin, isoform V [Source:VB Community Annotation]
AGAP006149	0	0	0.568	0.015	0.026	0.477	0.008	0	0.005	0.019	0.024	0	0			0.001	0.33	0	CPLCX3	cuticular protein unclassified [Source:VB Community Annotation]
AGAP000167	0	0.102	0	0.237	0.944	0.989	0.001	0.191	0.029	0.101	0.014	0.013	0	0	0	0.001	0.858	0.287	""	Lipid storage droplets surface-binding protein 2 [Source:VB Community Annotation]
AGAP000038	0	0.005	0	0	0.152	0.808	0.003	0	0	0.987	0.972	0.869	0.857	0.589	0.554	0.005	0.174	0	""	gamma-aminobutyric acid receptor subunit beta [Source:VB Community Annotation]
AGAP009028	0	0.019	0	0.003	0.348	0.936	0.553	0.475	0.009	0.094	0.62	0.16	0.762	0.006	0.185	0.003	0.285	0	""	Teashirt-like protein [Source:VB Community Annotation]
AGAP006543	0	0.003	0.028	0	0.018	0.05	0.224	0	0	0	0	0	0	0	0	0.942	0	0	""	""
AGAP002748	0	0.069	0	0.789	0.912	0.282	0.135	0.948	0.675	0.033	0.704	0.034	0.686	0.003	0.245	0.001	0.151	0	""	Protein kinase C [Source:UniProtKB/TrEMBL;Acc:Q7QCP8]
AGAP007711	0	0.591	0.082	0.4	0.015	0.056	0	0	0	0.031	0.108	0.377	0.666	0.334	0.61	0	0.753	0	""	""
AGAP006280	0	0.038	0.568	0.147	0.002	0.125	0.243	0.084	0.018	0.172	0.326	0.245	0.28	0.007	0.03	0.17	0.532	0	""	nuclear pore complex protein Nup210 [Source:VB Community Annotation]
AGAP003945	0	0.003	0.001	0.596	0.282	0.272	0.133	0.662	0.262	0.019	0.025	0.002	0.001	0.002	0.002	0.441	0.929	0.032	""	olypyrimidine tract-binding protein 2 [Source:VB Community Annotation]
AGAP005883	0	0	0.218	0	0	0.24	0.149	0.583	0.846	0.022	0.129	0.05	0.117	0.003	0.04	0.614	0.597	0.212	""	coiled-coil domain-containing protein 6 [Source:VB Community Annotation]
AGAP007039	0	0.076	0.041	0.131	0.008	0.005	0.435	0.014	0	0.935	0.339	0.934	0.336	0.743	0.128	0.049	0.472	0.02	LRIM4	leucine-rich immune protein (Long) [Source:VB Community Annotation]
AGAP005964	0	0	0.005	0	0	0.729	0.252	0.635	0.711	0	0.142	0.001	0.144	0.001	0.14	0.334	0.782	0	""	""
